source,title,route_references,status
src/main/nexacro/form/cm/bbs/cmBbsDocDetailP.xfdl,자료 게시판_자료 상세,svc::/cm/bbs/modifyBbsSearchCnt.do | svc::/cm/bbs/searchBbsDocMngDetail.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsDocF.xfdl,자료 게시판,svc::/cm/bbs/searchBbsDoc.do | svc::/cm/bbs/searchBbsDocMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsDocMngDetailP.xfdl,자료 게시판 관리 상세,svc::/cm/bbs/modifyBbsDocMng.do | svc::/cm/bbs/registBbsDocMng.do | svc::/cm/bbs/removeBbs.do | svc::/cm/bbs/searchBbsDocMngDetail.do | svc::/cm/bbs/selectBbsMngInfo.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsFaqDetailP.xfdl,자주 묻는 질문 상세,svc::/cm/bbs/modifyBbsSearchCnt.do | svc::/cm/bbs/searchBbsFaqDetail.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsFaqF.xfdl,자주 묻는 질문,svc::/cm/bbs/searchBbsFaq.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsFaqMngDetailP.xfdl,자주 묻는 질문 관리 상세,svc::/cm/bbs/modifyBbsFaqMng.do | svc::/cm/bbs/registBbsFaqMng.do | svc::/cm/bbs/removeBbs.do | svc::/cm/bbs/searchBbsFaqDetail.do | svc::/cm/bbs/selectBbsMngInfo.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsMngF.xfdl,게시판 구분 관리,svc::/cm/bbs/modifyBbsMng.do | svc::/cm/bbs/registBbsMng.do | svc::/cm/bbs/removeBbsMng.do | svc::/cm/bbs/searchBbsMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsNtcDetailP.xfdl,공지사항 상세,svc::/cm/bbs/modifyBbsSearchCnt.do | svc::/cm/bbs/searchBbsNtcDetail.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsNtcF.xfdl,공지사항,svc::/cm/bbs/searchBbsNtc.do | svc::/cm/bbs/searchBbsNtcMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsNtcMngDetailP.xfdl,공지사항 관리 상세,svc::/cm/bbs/modifyBbsNtcMng.do | svc::/cm/bbs/registBbsNtcMng.do | svc::/cm/bbs/removeBbs.do | svc::/cm/bbs/searchBbsNtcDetail.do | svc::/cm/bbs/selectBbsMngInfo.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsQnaDetailP.xfdl,문의하기_문의 결과 확인,svc::/cm/bbs/modifyBbsSearchCnt.do | svc::/cm/bbs/removeBbs.do | svc::/cm/bbs/searchBbsQnaAnsFile.do | svc::/cm/bbs/searchBbsQnaDetail.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsQnaF.xfdl,문의하기,svc::/cm/bbs/searchBbsQnaList.do | svc::/cm/bbs/searchBbsQnaMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsQnaMngDetailP.xfdl,문의하기_문의 결과 처리,svc::/cm/bbs/modifyBbsQnaAns.do | svc::/cm/bbs/registBbsQnaAnsMng.do | svc::/cm/bbs/removeBbsQnaAns.do | svc::/cm/bbs/searchBbsQnaAnsFile.do | svc::/cm/bbs/searchBbsQnaDetail.do | svc::/cm/bbs/selectBbsMngInfo.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsQnaModifyP.xfdl,문의하기_수정,svc::/cm/bbs/modifyBbsQnaMng.do | svc::/cm/bbs/searchBbsQnaDetail.do | svc::/cm/bbs/selectBbsMngInfo.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsQnaRegP.xfdl,문의하기_등록,svc::/cm/bbs/registBbsQnaMng.do | svc::/cm/bbs/selectBbsMngInfo.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmBbsRateTblF.xfdl,요금요율표,,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmUtztnTrmsMngF.xfdl,정책 관리,svc::/cm/bbs/selectUtztnTrmsList.do,NOT_VERIFIED
src/main/nexacro/form/cm/bbs/cmUtztnTrmsMngP.xfdl,정책 상세,svc::/cm/bbs/saveUtztnTrms.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmBankCdMngF.xfdl,은행 및 지점 관리,svc::/cm/bsis/modifyBankCdMng.do | svc::/cm/bsis/modifyBrCdMng.do | svc::/cm/bsis/registBankCdMng.do | svc::/cm/bsis/registBrCdMng.do | svc::/cm/bsis/removeBankCdMng.do | svc::/cm/bsis/removeBrCdMng.do | svc::/cm/bsis/searchBankCdMng.do | svc::/cm/bsis/searchBrCdMng.do,NOT_VERIFIED
src/main/nexacro/form/cm/bsis/cmBasicChrMsgMngF.xfdl,문자 메시지 관리,svc::/cm/bsis/saveBassChrMsgMng.do | svc::/cm/bsis/searchBassChrMsgMng.do,NOT_VERIFIED
