source,line,namespace,kind,id,status
src/main/resources/mappers/arisuinfo/cm/addrMapper.xml,10,arisuinfo.cm.cmPop.mapper.AddrMapper,select,searchCityList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/addrMapper.xml,29,arisuinfo.cm.cmPop.mapper.AddrMapper,select,searchRegionSignguList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/addrMapper.xml,61,arisuinfo.cm.cmPop.mapper.AddrMapper,select,searchRnList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/addrMapper.xml,89,arisuinfo.cm.cmPop.mapper.AddrMapper,select,searchSeoulSignguList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/addrMapper.xml,114,arisuinfo.cm.cmPop.mapper.AddrMapper,select,searchRnRepresentList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/addrMapper.xml,608,arisuinfo.cm.cmPop.mapper.AddrMapper,select,searchJibunAddrList,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/addrMapper.xml,651,arisuinfo.cm.cmPop.mapper.AddrMapper,select,searchRnListCity,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/addrMapper.xml,659,arisuinfo.cm.cmPop.mapper.AddrMapper,select,searchRnListSigngu,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authChgHstryMapper.xml,9,arisuinfo.cm.auth.auth.mapper.AuthChgHstryMapper,insert,insertAuthMenuHstry,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authChgHstryMapper.xml,33,arisuinfo.cm.auth.auth.mapper.AuthChgHstryMapper,insert,insertAuthPgmHstry,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,9,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,select,selectAuthMenuTreeListBySysSeCdAndAuthId,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,159,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,update,insertAuthMenu,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,195,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,delete,deleteAuthMenuByKey,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,204,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,delete,deleteOrphanAuthPgmDtlsByAuthId,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,224,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,insert,insertAuthPgmDtls,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,254,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,delete,deleteAuthPgmDtlsByKey,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,269,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,select,selectAuthPgmDtlsListByAuthIdAndMenuId,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,288,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,select,selectMenuListByMenuId,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,309,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,delete,deleteUpperMenu,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,344,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,select,selectMenuListWithPublic,NOT_VERIFIED
src/main/resources/mappers/arisuinfo/cm/auth/auth/authMenuMapper.xml,455,arisuinfo.cm.auth.auth.mapper.AuthMenuMapper,select,selectAuthMenuByAuthId,NOT_VERIFIED
